model,MSE,MAE,R2
Improved GNN,0.004803711548447609,0.05025351792573929,0.3215096592903137
SVM,0.007659699838541064,0.08128526853493936,-0.08187854638569192
Linear Regression,0.01395999098178288,0.09199998144796818,-0.9717502081393949
